"name","country","position","date_of_birth","age","caps","goals_conceded","senior_debut_date","senior_debut_match","senior_debut_match_location","last_appearance_date","last_appearance_match","last_appearance_location","club","league","height","weight","id","team_id","detailed_position","goals"
"Stefan Ilsanker","Austria","Midfield",1989-05-18,27,17,NA,2014-05-30,"Austria 1-1 Iceland","Innsbruck",2016-06-18,"Portugal 0-0 Austria","Paris","Leipzig","GER",189,86,"103354","8","Defensive midfielder",0
"David Alaba","Austria","Midfield",1992-06-24,23,48,NA,2009-10-14,"France 3-1 Austria","Saint-Denis",2016-06-18,"Portugal 0-0 Austria","Paris","Bayern","GER",180,75,"1906540","8","Central midfielder",11
"Zlatko Junuzović","Austria","Midfield",1987-09-26,28,49,NA,2006-03-01,"Austria 0-2 Canada","Vienna",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Bremen","GER",172,69,"101295","8","Attacking midfielder",7
"Martin Harnik","Austria","Midfield",1987-06-10,29,60,NA,2007-08-22,"Austria 1-1 Czech Republic","Vienna",2016-06-18,"Portugal 0-0 Austria","Paris","Stuttgart","GER",185,75,"103549","8","Winger",14
"Julian Baumgartlinger","Austria","Midfield",1988-01-02,28,47,NA,2009-09-09,"Romania 1-1 Austria","Bucharest",2016-06-18,"Portugal 0-0 Austria","Paris","Mainz","GER",183,82,"98843","8","Defensive midfielder",1
"Alessandro Schöpf","Austria","Midfield",1994-02-07,22,5,NA,2016-03-26,"Austria 2-1 Albania","Vienna",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Schalke","GER",178,75,"250050403","8","Attacking midfielder",1
"Marcel Sabitzer","Austria","Midfield",1994-03-17,22,20,NA,2012-06-05,"Austria 0-0 Romania",NA,2016-06-18,"Portugal 0-0 Austria","Paris","Leipzig","GER",177,74,"250024349","8","Attacking midfielder",3
"Jakob Jantscher","Austria","Midfield",1989-01-08,27,22,NA,2009-06-06,"Serbia 1-0 Austria","Belgrade",2016-06-04,"Austria 0-2 Netherlands","Vienna","Luzern","SUI",181,69,"103356","8","Winger",1
"Marko Arnautović","Austria","Forward",1989-04-19,27,54,NA,2008-10-11,"Faroe Islands 1-1 Austria","Torshavn",2016-06-18,"Portugal 0-0 Austria","Paris","Stoke","ENG",192,83,"1903428","8","Winger",11
"Rubin Okotie","Austria","Forward",1987-06-06,29,18,NA,2008-11-19,"Austria 2-4 Turkey","Vienna",2016-06-14,"Austria 0-2 Hungary","Bordeaux","1860 München","GER",188,86,"74433","8","Forward",2
"Lukas Hinterseer","Austria","Forward",1991-03-28,25,11,NA,2013-11-19,"Austria 1-0 USA","Vienna",2016-06-18,"Portugal 0-0 Austria","Paris","Ingolstadt","GER",192,84,"250021800","8","Forward",0
"Marc Janko","Austria","Forward",1983-06-25,32,55,NA,2006-05-23,"Austria 1-4 Croatia","Vienna",2016-06-14,"Austria 0-2 Hungary","Bordeaux","Basel","SUI",196,93,"59688","8","Forward",25
