"team.value","capacity.value","coords.value","image.value","teamLabel.value","venueLabel.value","team_twitter.value"
"http://www.wikidata.org/entity/Q131603","75000","Point(11.624752777 48.218775)","http://commons.wikimedia.org/wiki/Special:FilePath/M%C3%BCnchen%20-%20Allianz-Arena%20%28Luftbild%29.jpg","TSV 1860 München","Allianz Arena",NA
"http://www.wikidata.org/entity/Q102720","74064","Point(13.239444444 52.514722222)","http://commons.wikimedia.org/wiki/Special:FilePath/Berlin%20Olympiastadion%20nach%20Umbau.jpg","Hertha BSC","Olympiastadion Berlin","HerthaBSC"
"http://www.wikidata.org/entity/Q104770","50000","Point(6.875 50.933611)","http://commons.wikimedia.org/wiki/Special:FilePath/RheinEnergieStadion%20K%C3%B6ln%20002.jpg","1. FC Köln","RheinEnergie Stadion",NA
"http://www.wikidata.org/entity/Q104761","30210","Point(7.002205555 51.038255555)","http://commons.wikimedia.org/wiki/Special:FilePath/BayArena%20neu%202009.jpg","Bayer 04 Leverkusen","BayArena","bayer04fussball"
"http://www.wikidata.org/entity/Q201567","18416","Point(11.980555555 57.706111111)",NA,"IFK Göteborg","Gamla Ullevi",NA
"http://www.wikidata.org/entity/Q172969","52518","Point(37.809722 48.020833)","http://commons.wikimedia.org/wiki/Special:FilePath/Donezk%20Donbass%20Arena%2009.JPG","FC Shakhtar Donetsk","Donbass Arena",NA
"http://www.wikidata.org/entity/Q734785","43615","Point(18.640278 54.39)","http://commons.wikimedia.org/wiki/Special:FilePath/PGE%20Arena.jpeg","Lechia Gdańsk","Stadion Energa Gdańsk",NA
"http://www.wikidata.org/entity/Q179075","70050","Point(30.521845 50.43341)","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A4%D1%96%D0%BD%D0%B0%D0%BB%20%D0%84%D0%B2%D1%80%D0%BE-2012.%20%D0%9D%D0%A1%D0%9A%20%C2%AB%D0%9E%D0%BB%D1%96%D0%BC%D0%BF%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B8%D0%B9%C2%BB.%203%20%D1%85%D0%B2%D0%B8%D0%BB%D0%B8%D0%BD%D0%B8%20%D0%BF%D1%96%D1%81%D0%BB%D1%8F%20%D1%84%D1%96%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%81%D0%B2%D0%B8%D1%81%D1%82%D0%BA%D0%B0.JPG","FC Dynamo Kyiv","Olimpiyskiy National Sports Complex",NA
"http://www.wikidata.org/entity/Q189671","38512","Point(7.62 47.541389)","http://commons.wikimedia.org/wiki/Special:FilePath/St%20Jakob-Park.jpg","FC Basel","St. Jakob-Park",NA
"http://www.wikidata.org/entity/Q420594","23804","Point(76.92435 43.238331)","http://commons.wikimedia.org/wiki/Special:FilePath/Almaty%20Central%20Stad.jpeg","FC Kairat","Almaty Central Stadium",NA
